"Dish.ID","Species","Length","Temperature","Moisture","Starting.viable.count","Total.germinated","Combo"
"1","FH","3M","MF","PR",14,10,"3M.MF.PR"
"2","FH","3M","MF","PR",12,10,"3M.MF.PR"
"3","FH","3M","RT","PR",12,5,"3M.RT.PR"
"4","FH","5M","DF","NS",15,11,"5M.DF.NS"
"5","FH","3M","DF","PO",14,10,"3M.DF.PO"
"6","FH","5M","DF","PR",13,11,"5M.DF.PR"
"7","FH","1M","FR","PO",15,11,"1M.FR.PO"
"8","FH","1M","MF","PR",11,5,"1M.MF.PR"
"9","FH","3M","MF","NS",14,10,"3M.MF.NS"
"10","FH","1M","MF","NS",13,12,"1M.MF.NS"
"11","FH","5M","DF","PO",16,16,"5M.DF.PO"
"12","FH","3M","FR","NS",14,10,"3M.FR.NS"
"13","FH","5M","MF","PR",13,7,"5M.MF.PR"
"14","FH","1M","DF","PR",12,9,"1M.DF.PR"
"15","FH","5M","FR","PO",16,16,"5M.FR.PO"
"16","FH","5M","FR","NS",15,14,"5M.FR.NS"
"17","FH","3M","MF","PR",11,8,"3M.MF.PR"
"18","FH","3M","MF","NS",12,10,"3M.MF.NS"
"19","FH","3M","FR","PO",11,8,"3M.FR.PO"
"20","FH","C","RT","PO",16,16,"C.RT.PO"
"21","FH","3M","FR","PR",10,5,"3M.FR.PR"
"22","FH","1M","FR","NS",10,10,"1M.FR.NS"
"23","FH","1M","MF","NS",10,9,"1M.MF.NS"
"24","FH","5M","FR","PO",12,7,"5M.FR.PO"
"25","FH","3M","MF","PO",7,7,"3M.MF.PO"
"26","FH","3M","DF","PO",15,15,"3M.DF.PO"
"27","FH","1M","DF","PR",9,5,"1M.DF.PR"
"28","FH","3M","FR","PO",13,7,"3M.FR.PO"
"29","FH","5M","FR","NS",13,10,"5M.FR.NS"
"30","FH","5M","RT","PR",13,10,"5M.RT.PR"
"31","FH","5M","MF","PO",11,5,"5M.MF.PO"
"32","FH","1M","MF","PO",18,13,"1M.MF.PO"
"33","FH","1M","RT","PR",13,6,"1M.RT.PR"
"34","FH","5M","FR","NS",14,11,"5M.FR.NS"
"35","FH","3M","DF","PR",16,12,"3M.DF.PR"
"36","FH","1M","FR","PR",13,6,"1M.FR.PR"
"37","FH","1M","FR","PO",14,9,"1M.FR.PO"
"38","FH","5M","MF","PR",11,6,"5M.MF.PR"
"39","FH","3M","DF","NS",13,9,"3M.DF.NS"
"40","FH","1M","MF","PR",13,5,"1M.MF.PR"
"41","FH","3M","FR","NS",15,11,"3M.FR.NS"
"42","FH","5M","RT","PR",16,12,"5M.RT.PR"
"43","FH","5M","MF","NS",12,7,"5M.MF.NS"
"44","FH","3M","RT","PR",11,5,"3M.RT.PR"
"45","FH","1M","DF","NS",10,4,"1M.DF.NS"
"46","FH","C","RT","PO",17,15,"C.RT.PO"
"47","FH","1M","MF","PO",16,12,"1M.MF.PO"
"48","FH","5M","MF","NS",15,9,"5M.MF.NS"
"49","FH","1M","RT","PR",7,7,"1M.RT.PR"
"50","FH","1M","DF","NS",18,5,"1M.DF.NS"
"51","FH","1M","DF","PO",13,8,"1M.DF.PO"
"52","FH","3M","DF","PR",9,9,"3M.DF.PR"
"53","FH","5M","FR","PR",14,9,"5M.FR.PR"
"54","FH","1M","MF","NS",11,7,"1M.MF.NS"
"55","FH","3M","DF","PR",16,10,"3M.DF.PR"
"56","FH","5M","MF","PO",12,4,"5M.MF.PO"
"57","FH","3M","FR","NS",13,8,"3M.FR.NS"
"58","FH","5M","DF","PR",11,9,"5M.DF.PR"
"59","FH","1M","DF","NS",13,7,"1M.DF.NS"
"60","FH","1M","DF","PO",13,9,"1M.DF.PO"
"61","FH","3M","DF","PO",9,7,"3M.DF.PO"
"62","FH","1M","FR","NS",13,10,"1M.FR.NS"
"63","FH","C","RT","NS",12,8,"C.RT.NS"
"64","FH","1M","DF","PR",13,5,"1M.DF.PR"
"65","FH","3M","FR","PR",11,6,"3M.FR.PR"
"66","FH","C","RT","NS",12,5,"C.RT.NS"
"67","FH","3M","FR","PR",12,8,"3M.FR.PR"
"68","FH","1M","FR","PR",16,10,"1M.FR.PR"
"69","FH","1M","FR","PO",14,10,"1M.FR.PO"
"70","FH","1M","DF","PO",18,10,"1M.DF.PO"
"71","FH","3M","FR","PO",18,12,"3M.FR.PO"
"72","FH","1M","MF","PR",11,6,"1M.MF.PR"
"73","FH","5M","DF","PO",12,12,"5M.DF.PO"
"74","FH","3M","MF","PO",11,8,"3M.MF.PO"
"75","FH","3M","DF","NS",13,6,"3M.DF.NS"
"76","FH","5M","MF","PO",10,7,"5M.MF.PO"
"77","FH","5M","DF","PO",12,9,"5M.DF.PO"
"78","FH","3M","MF","PO",16,11,"3M.MF.PO"
"79","FH","5M","MF","NS",13,7,"5M.MF.NS"
"80","FH","3M","RT","PR",12,7,"3M.RT.PR"
"81","FH","5M","FR","PO",13,11,"5M.FR.PO"
"82","FH","5M","MF","PR",11,5,"5M.MF.PR"
"83","FH","5M","FR","PR",12,10,"5M.FR.PR"
"84","FH","1M","MF","PO",12,8,"1M.MF.PO"
"85","FH","1M","FR","NS",12,10,"1M.FR.NS"
"86","FH","1M","FR","PR",13,5,"1M.FR.PR"
"87","FH","1M","RT","PR",14,8,"1M.RT.PR"
"88","FH","3M","DF","NS",14,14,"3M.DF.NS"
"89","FH","5M","RT","PR",14,10,"5M.RT.PR"
"90","FH","5M","FR","PR",12,8,"5M.FR.PR"
"91","FH","5M","DF","NS",11,8,"5M.DF.NS"
"92","FH","5M","DF","NS",16,11,"5M.DF.NS"
"93","FH","C","RT","NS",14,9,"C.RT.NS"
"94","FH","3M","MF","NS",10,9,"3M.MF.NS"
"95","FH","5M","DF","PR",11,5,"5M.DF.PR"
"96","FH","C","RT","PO",16,15,"C.RT.PO"
